Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0070-A-00010-0000-00,Vacant Land,Disposition in Process,URA Owned,RM-M,0 VON BONNHORST ST
0070-E-00074-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00080-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00081-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00082-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00088-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00096-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-E-00098-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-G-00274-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WINDGAP AVE
0070-J-00002-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-J-00018-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 LASSEN ST
0070-J-00030-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 ARBORDALE ST
0070-J-00060-0000-00,Vacant Land,Hold for Study,URA Owned,R1D-L,0 FAIRYWOOD ST
0075-L-00270-0000-00,Vacant Land,Disposition in Process,URA Owned,R1A-H,3339 MCCLURE AVE
0075-L-00276-0000-00,Vacant Land,Disposition in Process,URA Owned,R1A-H,3339 MCCLURE AVE
0075-L-00277-0000-00,Vacant Land,Disposition in Process,URA Owned,R1A-H,3339 MCCLURE AVE
0083-A-00048-0000-00,Vacant Land,Available,URA Owned,R2-M,626 N AIKEN AVE
0083-E-00082-0000-00,Vacant Land,Hold for Study,URA Owned,R3-M,5476 BLACK ST
0083-E-00277-0000-00,Vacant Land,Available,URA Owned,R2-H,0 DOROTHY PL
0083-E-00278-0000-00,Vacant Land,Available,URA Owned,R2-H,0 DOROTHY PL
0083-M-00174-0000-00,Vacant Land,Hold-PLB Transfer Pending,URA Owned,R1D-H,0 MAYFLOWER ST
0083-R-00115-0000-00,Surface Parking Lot,Available,URA Owned,R1A-H,0 RODMAN ST
0083-S-00271-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00273-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00275-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00276-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00277-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00278-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0083-S-00279-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 HAMILTON AVE
0084-E-00043-0000-00,Vacant Land,To Be Dedicated,URA Owned,R3-M,341 AMBER ST
0115-D-00172-0000-00,Vacant Land,Hold for Study,URA Owned,R1D-M,0 BONVUE ST
0115-J-00113-0000-00,Vacant Land,Available,URA Owned,R1D-M,0 WEST POINT AVE
0124-G-00185-0000-00,Vacant Land,Available,URA Owned,RM-M,0 DICK ST
0124-J-00169-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-H,0 MCDONALD ST
0124-K-00022-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-H,0 LARIMER AVE
0124-K-00144-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 SHETLAND ST
0124-K-00169-000A-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 SHETLAND ST
0124-K-00171-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 SHETLAND ST
0124-K-00192-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 THOMPSON ST
0124-K-00195-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 THOMPSON ST
0124-N-00140-0000-00,Vacant Land,Site Assemblage,URA Owned,R2-H,0 CARVER ST
0124-N-00195-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 CARVER ST
0124-N-00198-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 CARVER ST
0124-N-00294-0000-00,Vacant Land,Site Assemblage,URA Owned,R2-H,0 STOEBNER WAY
0124-N-00363-000A-00,Vacant Land,Site Assemblage,URA Owned,R1A-H,0 WINSLOW ST
0124-P-00011-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-H,0 WINSLOW ST
0124-P-00157-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-H,0 WINFIELD ST
0124-S-00304-0000-00,Vacant Land,Available,URA Owned,R2-L,6947 UPLAND ST
0125-A-00334-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00334-000A-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 DIX WAY
0125-A-00335-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00336-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00339-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00340-0000-00,Vacant Land,Hold from Market,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00342-0000-00,Vacant Land,Site Assemblage,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00343-0000-00,Vacant Land,Site Assemblage,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-A-00344-0000-00,Vacant Land,Site Assemblage,URA Owned,R2-H,0 EAST LIBERTY BLVD
0125-D-00075-0000-00,Vacant Land,Available,URA Owned,R2-L,0 FLETCHER WAY
0125-G-00014-0000-00,Vacant Land,Available,URA Owned,R1D-L,0 KELLY ST
0125-G-00015-0000-00,Vacant Land,Available,URA Owned,R1D-L,0 KELLY ST
0125-G-00048-0000-00,Vacant Land,Available,URA Owned,R1D-L,0 KELLY ST
0125-L-00024-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-M,0 N DALLAS AVE
0125-L-00025-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-M,0 N DALLAS AVE
0125-L-00370-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-L,0 SIMONTON ST
0125-L-00372-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-L,0 SIMONTON ST
0125-L-00374-0000-00,Vacant Land,Site Assemblage,URA Owned,R1D-L,0 SIMONTON ST
