Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0022-F-00022-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00023-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00024-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00025-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00026-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00028-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00029-000C-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00033-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00034-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00034-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00034-000B-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00035-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00035-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00036-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 MANHATTAN ST
0022-F-00037-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00039-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00040-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00041-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00041-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 BELDALE ST
0022-F-00041-000B-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 NIXON ST
0022-F-00064-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1322 ADAMS ST
0022-F-00079-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 ADAMS ST
0022-F-00114-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 ADAMS ST
0022-F-00118-0000-01,Vacant Land,Hold for Study,URA Owned,R1A-VH,1411 ADAMS ST
0022-F-00121-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 ADAMS ST
0022-F-00122-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 ADAMS ST
0022-F-00236-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1325 WARNER ST
0022-F-00267-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1429 WARNER ST
0022-F-00283-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 LAKE ST
0022-H-00001-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00006-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00007-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00009-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00011-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 LYSLE ST
0022-H-00012-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00013-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00014-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 LYSLE ST
0022-H-00015-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 LYSLE ST
0022-H-00016-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00017-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00018-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 LYSLE ST
0022-H-00019-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 LYSLE ST
0022-H-00021-0000-00,Vacant Land,Hold from Market,URA Owned,R1A-M,0 KIRKBRIDE ST
0022-H-00187-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-M,0 BRIGHTON PL
0022-J-00299-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1450 COLUMBUS AVE
0022-J-00300-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1448 COLUMBUS AVE
0022-J-00302-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1444 COLUMBUS AVE
0022-K-00022-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1339 COLUMBUS AVE
0022-K-00037-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 LAKE ST
0022-K-00066-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1707 FULTON ST
0022-K-00072-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 JUNIATA ST
0022-K-00073-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 LAKE ST
0022-K-00074-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 LAKE ST
0022-K-00134-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1421 JUNIATA ST
0022-L-00027-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 RUSH ST
0022-L-00090-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 SEDGWICK ST
0022-L-00091-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 SEDGWICK ST
0022-L-00091-000A-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 SEDGWICK ST
0022-L-00092-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 SEDGWICK ST
0022-L-00096-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 N FRANKLIN ST
0022-L-00133-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,1212 DECATUR ST
0022-L-00136-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 N FRANKLIN ST
0022-L-00187-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 N FRANKLIN ST
0023-E-00024-0000-00,Vacant Land,Available,URA Owned,R1A-VH,0 REDKNAP ST
0023-F-00196-0000-00,Vacant Land,Available,URA Owned,R1A-VH,0 ALPINE AVE
0023-F-00197-000A-00,Vacant Land,Available,URA Owned,R1A-VH,0 ALPINE AVE
0023-F-00198-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 CARRINGTON ST
0023-F-00199-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 ALPINE AVE
0023-F-00301-0000-00,Vacant Land,Hold-PLB Transfer Pending,URA Owned,R1A-VH,0 JACKSONIA ST
0023-F-00336-0000-00,Vacant Land,Hold-PLB Transfer Pending,URA Owned,R1A-VH,0 ARCH ST
0023-F-00414-0000-00,Vacant Land,Available,URA Owned,R1A-VH,0 ARCH ST
0025-A-00002-0000-00,Vacant Land,Disposition in Process,URA Owned,RIV-IMU,0 RIVER AVE
0025-A-00175-0000-00,Vacant Land,Easement Area,URA Owned,RIV-RM,66 WATERFRONT DR
0048-F-00385-0000-00,Vacant Land,To Be Dedicated,URA Owned,RIV-MU,0 HERRS ISLAND
0048-P-00350-0000-00,Street,To Be Dedicated,URA Owned,RIV-RM,0 WATERFRONT DR
0056-J-00060-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LYTLE ST
0056-N-00161-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00162-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00163-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00168-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00169-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00170-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00171-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00174-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00175-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00188-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00189-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0056-N-00190-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 LADORA WAY
0080-P-00038-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 LONG WAY
0174-N-00263-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 TIOGA ST
0174-N-00298-0000-00,Vacant Structure,Exclusive Negotiations,URA Owned,R1A-VH,7213 SUSQUEHANNA ST
0174-P-00097-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 HAMILTON AVE
0175-A-00041-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,7301 FINANCE ST
0175-B-00147-0000-00,Vacant Land,Hold for Study,URA Owned,R1A-VH,0 SUSQUEHANNA ST
0022-M-00045-0000-00,Vacant Land,Available,URA Owned,R1A-M,0 FREEDMORE ST
0173-P-00173-0000-00,Vacant Land,Available,URA Owned,RM-M,7204 EVERTON ST
0174-N-00271-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-VH,0 SUSQUEHANNA ST
0083-P-00230-0000-00,Surface Parking Lot,Hold for Study,URA Owned,UNC,5910 HARVARD ST
0010-L-00063-0000-00,Vacant Land,RFP/RFQ Issued,URA Owned,RM-M,0 MAHON ST
0124-P-00176-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 WINSLOW ST
0124-P-00145-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 WINFIELD ST
0124-P-00144-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 WINFIELD ST
0124-P-00041-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 PAULSON AVE
0124-P-00062-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 PAULSON AVE
0010-J-00150-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WOOSTER ST
0010-K-00097-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 ELMORE ST
0010-K-00100-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WOOSTER ST
0010-K-00101-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 ELMORE ST
0010-K-00104-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WEBSTER AVE
0010-K-00115-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 PERRY ST
0010-K-00116-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 PERRY ST
0084-L-00283-0000-00,Vacant Structure,Exclusive Negotiations,URA Owned,RM-H,324 EMERSON ST
0011-A-00284-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 ROSE ST
0009-S-00187-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 HILLSIDE DR
0056-F-00085-000A-00,Vacant Land,Hold from Market,URA Owned,LNC,4820 2ND AVE
0015-S-00014-0000-00,Vacant Structure,Hold for Study,URA Owned,R2-H,235 MICHIGAN ST
0034-D-00014-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,919 ELDORA PL
0015-S-00026-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,315 MICHIGAN ST
0026-N-00052-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 MILWAUKEE ST
0026-N-00054-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 MILWAUKEE ST
0015-S-00170-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,911 ELDORA PL
0015-S-00175-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,903 ELDORA PL
0015-S-00189-0000-00,Vacant Structure,Hold for Study,URA Owned,R2-H,835 ELDORA PL
0015-S-00192-0000-00,Vacant Structure,Hold for Study,URA Owned,R2-H,827 ELDORA PL
0015-S-00196-0000-00,Vacant Structure,Hold for Study,URA Owned,R2-H,817 ELDORA PL
0015-S-00199-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,809 ELDORA PL
0050-M-00180-0000-00,Vacant Land,Disposition in Process,URA Owned,R2-H,5410 ROSETTA ST
0027-B-00019-0000-00,Vacant Land,Hold-PLB Transfer Pending,URA Owned,R2-L,3314 CAMP ST
0027-B-00018-0000-00,Vacant Land,Hold-PLB Transfer Pending,URA Owned,R2-L,3312 CAMP ST
0125-H-00225-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 FOREST WAY
0125-H-00233-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 FRANKSTOWN AVE
0125-H-00234-0000-00,Vacant Land,Acquired,URA Owned,RM-M,7009 FRANKSTOWN AVE
0174-P-00301-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00302-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00303-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00305-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00315-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00316-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00317-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0174-P-00304-0000-00,Vacant Land,Acquired,URA Owned,RM-M,0 KELLY ST
0010-H-00060-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,2602 WYLIE AVE
0031-G-00200-0000-00,Vacant Land,Disposition in Process,URA Owned,P,0 AGNEW RD
0031-G-00200-0001-00,Vacant Structure,Hold for Study,URA Owned,,0 BECKS RUN RD
0031-J-00044-0000-00,Vacant Land,Hold for Study,URA Owned,,0 BECKS RUN RD
0031-J-00075-0000-00,Vacant Land,Hold for Study,URA Owned,,0 SOMERSET ST
0031-K-00002-0000-00,Vacant Land,Hold for Study,URA Owned,,0 SOMERSET ST
0031-K-00025-0000-00,Vacant Land,Hold for Study,URA Owned,,0 SOMERSET ST
0031-K-00035-0000-00,Vacant Land,Hold for Study,URA Owned,,0 OMERT ST
0031-K-00055-0000-00,Vacant Land,Hold for Study,URA Owned,,0 SUSQUEHANNA ST
0032-H-00100-0000-00,Vacant Land,Disposition in Process,URA Owned,P,0 PARKWOOD RD
0083-P-00237-0000-00,Street,Hold for Study,URA Owned,UNC,0 BROAD ST
0083-P-00148-0000-00,Street,Hold for Study,URA Owned,UNC,0 HARVARD ST
0070-E-00185-0000-00,Vacant Land,Disposition in Process,URA Owned,RM-M,0 BROADHEAD AVE
0070-E-00241-0000-00,Vacant Land,Sold,Privately Owned,RM-M,0 VON BONNHORST ST
0125-S-00022-0000-00,Vacant Land,Site Assemblage,URA Owned,UI,0 SUSQUEHANNA ST
0125-S-00027-0000-00,Vacant Land,Available,URA Owned,UI,0 SUSQUEHANNA ST
0125-S-00028-0000-00,Vacant Land,Site Assemblage,URA Owned,UI,0 SUSQUEHANNA ST
0125-S-00035-0000-00,Vacant Land,Site Assemblage,URA Owned,UI,0 SUSQUEHANNA ST
0027-B-00053-0000-00,Vacant Structure,Sold - Redevelopment in Progress,PHDC Owned,R2-L,811 BRYN MAWR RD
0027-B-00054-0000-00,Vacant Land,Sold - Redevelopment in Progress,PHDC Owned,R2-L,809 BRYN MAWR RD
0094-N-00037-0000-00,Vacant Structure,Acquired,URA Owned,R1D-L,2531 -2539 BROWNSVILLE RD
0056-F-00096-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 2ND AVE
0011-A-00216-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-M,0 WICK ST
0026-P-00185-0000-00,Vacant Structure,Site Assemblage,URA Owned,R2-L,830 ADELAIDE ST
0027-B-00318-0000-00,Vacant Structure,Hold-PHDC Transfer Pending,URA Owned,R2-L,912 CHEROKEE ST
0027-B-00319-0000-00,Vacant Structure,Hold-PHDC Transfer Pending,URA Owned,R2-L,914 CHEROKEE ST
0027-B-00095-000A-00,Vacant Structure,Site Assemblage,URA Owned,R2-L,3212 CAMP ST
0027-B-00096-0000-00,Vacant Structure,Acquired,URA Owned,R2-L,3214 CAMP ST
0029-B-00315-0000-00,Vacant Land,Available,URA Owned,SP-1,0 TECHNOLOGY DR
0083-P-00167-0000-00,Street,To Be Dedicated,URA Owned,CP,0 N EUCLID AVE
0004-L-00133-0000-00,Vacant Structure,Hold-PLB Transfer Pending,URA Owned,LNC,6 BOGGS AVE
0003-P-00186-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,719 EUREKA ST
0014-B-00223-000A-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,803 EXCELSIOR ST
0027-A-00126-0000-00,Vacant Structure,Disposition in Process,URA Owned,LNC,2932 WYLIE AVE
0026-N-00053-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 MILWAUKEE ST
0011-A-00222-0000-01,Vacant Land,Hold for Study,URA Owned,RM-M,0 LOMBARD ST
0027-A-00125-0000-00,Vacant Land,Disposition in Process,URA Owned,LNC,0 WYLIE AVE
0124-P-00026-0000-00,Vacant Land,Disposition in Process,URA Owned,R1A-H,0 MAXWELL WAY
0124-P-00024-0000-00,Vacant Land,Site Assemblage,URA Owned,R1A-H,0 MAXWELL WAY
0124-N-00053-0000-00,Vacant Structure,Acquired,URA Owned,R2-H,134 MAYFLOWER ST
0050-M-00005-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,5377 ROSETTA ST
0050-M-00004-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,5375 ROSETTA ST
0050-M-00001-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,5361 ROSETTA ST
0050-H-00011-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,0 ROSETTA ST
0050-M-00044-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,5347 KINCAID ST
0011-J-00095-0000-00,Vacant Land,Disposition in Process,URA Owned,UPR-B,0 FORBES AVE
0011-J-00096-0000-00,Vacant Structure,Disposition in Process,URA Owned,UPR-B,23 MILTENBERGER ST
0011-J-00101-0000-00,Vacant Land,Disposition in Process,URA Owned,UPR-B,0 FORBES AVE
0124-K-00059-0000-00,Vacant Land,Site Assemblage,URA Owned,RM-H,0 LARIMER AVE
0124-K-00060-0000-00,Vacant Land,Acquired,URA Owned,RM-H,0 LARIMER AVE
0124-J-00196-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,0 SHETLAND ST
0124-J-00151-0000-00,Vacant Land,Hold for Study,URA Owned,R1D-H,0 SHETLAND ST
0011-E-00300-000A-00,Vacant Land,Exclusive Negotiations,URA Owned,RM-M,0 COLWELL ST
0010-G-00019-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,2522 WYLIE AVE
0010-D-00340-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WYLIE AVE
0010-H-00310-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 WYLIE AVE
0002-C-00298-0000-00,Surface Parking Lot,Disposition in Process,URA Owned,SP-11,0 CENTRE AVE
0002-C-00301-0000-00,Surface Parking Lot,Disposition in Process,URA Owned,SP-11,0 CRAWFORD ST
0002-C-00303-0000-00,Surface Parking Lot,Disposition in Process,URA Owned,SP-11,0 CENTRE AVE
0002-C-00305-0000-00,Surface Parking Lot,Disposition in Process,URA Owned,SP-11,0 CRAWFORD ST
0002-D-00035-0000-00,Vacant Land,Available,URA Owned,R1D-L,0 ARTHUR ST
0022-K-00069-0000-02,Vacant Land,Acquired,URA Owned,R1A-VH,1707 FULTON ST
0012-A-00245-0000-00,Street,Disposition in Process,URA Owned,RIV-RM,0 S 17TH ST
0022-F-00156-0000-00,Vacant Structure,Hold for Study,URA Owned,R1A-VH,1815 FULTON ST
0027-A-00177-0000-00,Vacant Land,Hold for Study,URA Owned,LNC,0 HERRON AVE
0027-A-00195-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,635 OSSIPEE ST
0027-A-00196-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 OSSIPEE ST
0027-A-00199-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 OSSIPEE ST
0027-A-00202-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 OSSIPEE ST
0027-B-00166-0000-00,Vacant Structure,Acquired,URA Owned,R2-L,748 ANAHEIM ST
0124-R-00112-0000-00,Vacant Structure,Acquired,URA Owned,H,346 RENFREW ST
0010-N-00375-0000-00,Vacant Land,Deleted,,CP,1908 CENTRE AVE
0002-P-00302-0000-00,Street,Hold for Study,URA Owned,RIV-MU,0 2ND AVE
0056-G-00208-0000-00,Vacant Land,Hold for Study,URA Owned,R1D-M,0 ORINOCO ST
0003-P-00277-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,738 EUREKA ST
0014-B-00015-0000-00,Vacant Land,Disposition in Process,URA Owned,R1D-H,743 CERES WAY
0015-R-00231-0000-00,Vacant Structure,Hold for Study,URA Owned,R2-H,847 GEARING AVE
0015-R-00268-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,704 DELMONT AVE
0015-S-00197-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,0 ELDORA PL
0015-S-00198-0000-00,Vacant Land,Hold for Study,URA Owned,R2-H,811 ELDORA PL
0124-P-00011-000A-00,Vacant Structure,Site Assemblage,URA Owned,R1A-H,0 WINSLOW ST
0011-A-00217-000A-00,Vacant Land,Site Assemblage,URA Owned,RM-M,0 LOMBARD ST
0125-M-00324-0000-00,Vacant Structure,Acquired,URA Owned,RM-M,6957 HAMILTON AVE
0124-N-00365-0000-00,Vacant Land,Acquired,URA Owned,R1A-H,0 STOEBNER WAY
0174-K-00174-0000-00,Vacant Structure,RFP/RFQ Issued,URA Owned,RM-M,7310 FRANKSTOWN AVE
0012-H-00265-0002-00,Parking Structure,Disposition in Process,URA Owned,SP-5,455 S 26TH ST UNIT 2
0124-J-00240-0000-00,Vacant Land,Acquired,URA Owned,LNC,0 LARIMER AVE
0124-J-00240-000A-00,Vacant Land,Acquired,URA Owned,LNC,0 LARIMER AVE
0124-J-00241-0000-00,Occupied Structure,Acquired,URA Owned,LNC,501 LARIMER AVE
0010-N-00288-0000-00,Vacant Land,Hold for Study,Privately Owned,LNC,0 CENTRE AVE
0124-N-00368-0000-00,Vacant Land,Acquired,URA Owned,R1A-H,0 STOEBNER WAY
0124-N-00351-0000-00,Vacant Land,Acquired,URA Owned,R1A-H,0 STOEBNER WAY
0011-E-00032-0000-00,Vacant Structure,Acquired,URA Owned,UPR-A,1721 5TH AVE
0011-E-00033-0000-00,Vacant Structure,Acquired,URA Owned,UPR-A,1719 5TH AVE
0174-J-00094-0000-00,Vacant Structure,Acquired,URA Owned,LNC,621 N HOMEWOOD AVE
0124-E-00307-0000-00,Vacant Structure,Acquired,URA Owned,H,575 LENORA ST
0174-J-00093-0000-00,Vacant Land,Acquired,URA Owned,LNC,0 N HOMEWOOD AVE
0014-E-00159-0000-00,Vacant Land,Acquired,URA Owned,R2-H,0 BELTZHOOVER AVE
0014-E-00163-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,129 BELTZHOOVER AVE
0014-E-00164-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,131 BELTZHOOVER AVE
0014-E-00165-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,133 BELTZHOOVER AVE
0014-E-00167-0000-00,Vacant Land,Acquired,URA Owned,R1D-H,137 BELTZHOOVER AVE
0014-E-00160-0000-00,Vacant Land,Acquired,URA Owned,R2-H,192 BELTZHOOVER AVE
0027-A-00043-0001-00,Vacant Land,Hold for Study,URA Owned - County Records,RM-M,0 HERRON AVE
0106-H-00397-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,UI,0 STEUBENVILLE PIKE
0012-A-00130-0000-00,Vacant Land,Disposition in Process,URA Owned,RIV-RM,0 S 17TH ST
0106-D-00051-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,UI,0 FORDING RD
0002-B-00104-0000-00,Vacant Land,Deleted,,GT-B,0 WEBSTER AVE
0002-B-00118-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 7TH AVE
0002-B-00119-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 7TH AVE
0083-M-00083-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 COLLINS AVE
0083-M-00084-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 EAST LIBERTY BLVD
0026-N-00014-000B-00,Vacant Land,Hold from Market,URA Owned,R2-L,0 BRYN MAWR RD
0010-N-00344-0000-00,Vacant Structure,RFP/RFQ Issued,URA Owned,RM-M,403 GROVE ST
0012-H-00268-0000-00,Vacant Land,Easement Area,URA Owned,SP-5,0 SOUTH WATER ST
0012-H-00266-0000-00,Surface Parking Lot,Hold for Study,URA Owned,SP-5,2611 SOUTH WATER ST
0032-S-00100-0000-00,Vacant Land,Hold For Study,URA Owned,,0 BECKS RUN RD
0088-R-00121-0000-00,Vacant Land,Site Assemblage,URA Owned,RP,0 PARKVIEW BLVD
0026-K-00233-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 WEBSTER AVE
0002-H-00150-0000-00,Vacant Land,Hold for Study,URA Owned,UPR-A,0 COLWELL ST
0011-A-00044-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,RM-M,0 COLWELL ST
0001-M-00150-0000-00,Occupied Structure,Acquired,HACP Owned,GT-C,412 BLVD OF THE ALLIES
0084-B-00500-0000-01,Surface Parking Lot,Exclusive Negotiations,URA Owned,AP,120 S BEATTY ST
0084-B-00500-0000-02,Surface Parking Lot,Exclusive Negotiations,URA Owned,AP,120 S BEATTY ST
0083-F-00141-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 N NEGLEY AVE
0015-H-00156-0000-00,Vacant Land,Acquired,URA Owned - County Records,R2-H,406 CLIMAX ST
0029-N-00507-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 E CARSON ST
0029-N-00508-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 E CARSON ST
0029-J-00150-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 E CARSON ST
0029-J-00145-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 E CARSON ST
0012-M-00324-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 E CARSON ST
0012-H-00262-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 SOUTH WATER ST
0012-H-00260-0000-00,Vacant Land,Disposition in Process,URA Owned,SP-5,2631 TUNNEL BLVD
0012-H-00264-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 SOUTH WATER ST
0029-E-00006-0000-00,Street,To Be Dedicated,URA Owned,SP-5,0 SOUTH WATER ST
0084-B-00260-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,AP,120 S BEATTY ST
0174-B-00500-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0007-M-00064-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 ALLEGHENY AVE
