Parcel Number,Property Status,Inventory Type
0001F00100000002,Hold for Study,Hold For Study
0001N00210000001,Hold for Study,Hold For Study
0001N00219000000,Hold for Study,Hold For Study
0001P00400000000,Hold for Study,Hold For Study
0002D00368000000,Hold for Study,Hold For Study
0002D00371000000,Hold for Study,Hold For Study
0002H00284000000,Hold for Study,Hold For Study
0002H00285000000,Hold for Study,Hold For Study
0002H00287000000,Hold for Study,Hold For Study
0002K00002000000,Hold for Study,Hold For Study
0003E00016000000,Hold for Study,Hold For Study
0003E00032000000,Hold for Study,Hold For Study
0003E00040000000,Hold for Study,Hold For Study
0003H00015000000,Hold for Study,Hold For Study
0003J00011000000,Hold for Study,Hold For Study
0003J00017000000,Hold for Study,Hold For Study
0003J00019000000,Hold for Study,Hold For Study
0003J00021000000,Hold for Study,Hold For Study
0003J00022000000,Hold for Study,Hold For Study
0003J00024000000,Hold for Study,Hold For Study
0003J00025000000,Hold for Study,Hold For Study
0003J00026000000,Hold for Study,Hold For Study
0003J00027000000,Hold for Study,Hold For Study
0003J00029000000,Hold for Study,Hold For Study
0003J00030000000,Hold for Study,Hold For Study
0003J00033000000,Hold for Study,Hold For Study
0003K00009000000,Hold for Study,Hold For Study
0003K00098000000,Hold for Study,Hold For Study
0003K00099000000,Hold for Study,Hold For Study
0003K00100000000,Hold for Study,Hold For Study
0003K00106000000,Hold for Study,Hold For Study
0003K00107000000,Hold for Study,Hold For Study
0003K00109000000,Hold for Study,Hold For Study
0003K00110000000,Hold for Study,Hold For Study
0003K00113000000,Hold for Study,Hold For Study
0003K00114000000,Hold for Study,Hold For Study
0003K00115000000,Hold for Study,Hold For Study
0003K00117000000,Hold for Study,Hold For Study
0003K00119000000,Hold for Study,Hold For Study
0003K00120000000,Hold for Study,Hold For Study
0003K00136000000,Hold for Study,Hold For Study
0003K00139000A00,Hold for Study,Hold For Study
0003K00140000000,Hold for Study,Hold For Study
0003K00141000000,Hold for Study,Hold For Study
0003K00142000000,Hold for Study,Hold For Study
0003K00143000000,Hold for Study,Hold For Study
0003K00145000000,Hold for Study,Hold For Study
0003K00146000000,Hold for Study,Hold For Study
0003K00234000001,Hold for Study,Hold For Study
0003L00239000000,Hold for Study,Hold For Study
0003L00400000000,Hold for Study,Hold For Study
0003N00171000000,Available for Sale,URA Transfer
0003P00050000000,Hold for Study,Hold For Study
0003P00051000000,Hold for Study,Hold For Study
0003P00054000000,Hold for Study,Hold For Study
0003P00056000000,Hold for Study,Hold For Study
0003P00085000000,Hold for Study,Hold For Study
0003R00003000000,Hold for Study,Hold For Study
0003R00008000000,Hold for Study,Hold For Study
0003R00010000000,Hold for Study,Hold For Study
0003R00031000000,Hold for Study,Hold For Study
0003R00031000A00,Hold for Study,Hold For Study
0003R00032000000,Hold for Study,Hold For Study
0003R00035000000,Hold for Study,Hold For Study
0003R00037000000,Hold for Study,Hold For Study
0003R00038000000,Hold for Study,Hold For Study
0003R00039000000,Hold for Study,Hold For Study
0003R00041000000,Hold for Study,Hold For Study
0003R00043000000,Hold for Study,Hold For Study
0003R00044000000,Hold for Study,Hold For Study
0003R00045000000,Hold for Study,Hold For Study
0003R00048000000,Hold for Study,Hold For Study
0003R00050000000,Hold for Study,Hold For Study
0003R00051000000,Hold for Study,Hold For Study
0003R00052000000,Hold for Study,Hold For Study
0003R00100000000,Hold for Study,Hold For Study
0003R00147000000,Hold for Study,Hold For Study
0003R00148000000,Hold for Study,Hold For Study
0003R00149000000,Hold for Study,Hold For Study
0003R00169000000,Hold for Study,Hold For Study
0003R00178000000,Hold for Study,Hold For Study
0003R00192000000,Hold for Study,Hold For Study
0003R00193000000,Hold for Study,Hold For Study
0003R00194000000,Hold for Study,Hold For Study
0003R00197000000,Hold for Study,Hold For Study
0003R00205000000,Hold for Study,Hold For Study
0003R00231000000,Hold for Study,Hold For Study
0003R00238000000,Hold for Study,Hold For Study
0003R00241000000,Hold for Study,Hold For Study
0003R00247000000,Hold for Study,Hold For Study
0003R00262000000,Hold for Study,Hold For Study
0003R00263000000,Hold for Study,Hold For Study
0003R00293000000,Hold for Study,Hold For Study
0004A00245000000,Hold for Study,Hold For Study
0004C00100000000,Hold for Study,Hold For Study
0004D00030000000,Hold for Study,Hold For Study
0004E00057000000,Hold for Study,Hold For Study
0004G00254000000,Hold for Study,Hold For Study
0004G00256000000,Hold for Study,Hold For Study
0004G00295000001,Hold for Study,Hold For Study
0004G00300000000,Hold for Study,Hold For Study
0004H00150000000,Hold for Study,Hold For Study
0004H00199000000,Hold for Study,Hold For Study
0004H00226000000,Hold for Study,Hold For Study
0004H00227000000,Hold for Study,Hold For Study
0004H00228000000,Hold for Study,Hold For Study
0004H00231000000,Hold for Study,Hold For Study
0004J00002000000,Hold for Study,Hold for Study
0004J00004000000,Hold for Study,Hold For Study
0004J00010000000,Hold for Study,Hold For Study
0004J00013000000,Hold for Study,Hold For Study
0004J00015000000,Hold for Study,Hold For Study
0004J00019000000,Hold for Study,Hold For Study
0004J00021000000,Hold for Study,Hold For Study
0004J00031000000,Hold for Study,Hold For Study
0004J00035000000,Hold for Study,Hold For Study
0004J00066000000,Hold for Study,Hold for Study
0004L00102000000,Available for Sale,Public Sale
0004M00244000000,Hold for Study,Hold For Study
0004M00250000000,Hold for Study,Hold For Study
0004N00151000000,Hold for Study,Hold for Study
0004N00157000000,Hold for Study,Hold For Study
0004N00159000000,Hold for Study,Hold For Study
0004N00163000000,Hold for Study,Hold For Study
0004N00164000000,Hold for Study,Hold For Study
0004N00165000000,Hold for Study,Hold For Study
0004N00185000000,Hold for Study,Hold For Study
0004P00101000000,Available for Sale,Public Sale
0004P00178000000,Available for Sale,Public Sale
0004R00135000000,Available for Sale,Public Sale
0004R00144000A00,Available for Sale,Public Sale
0004R00145000000,Available for Sale,Public Sale
0005B00028000000,Hold for Study,Hold For Study
0005C00221000000,Hold for Study,Hold For Study
0005C00232000000,Hold for Study,Hold For Study
0005C00275000000,Hold for Study,Hold For Study
0005C00310000000,Hold for Study,Hold For Study
0005D00217000000,Hold for Study,Hold for Study
0005E00010000000,Hold for Study,Hold For Study
0005G00113000000,Hold for Study,Hold For Study
0005G00144000000,Hold for Study,Hold For Study
0005G00146000000,Hold for Study,Hold For Study
0005G00147000001,Hold for Study,Hold For Study
0005G00150000000,Hold for Study,Hold For Study
0005G00265000000,Hold for Study,Hold For Study
0005G00285000000,Available for Sale,Public Sale
0005G00286000000,Hold for Study,Hold for Study
0005G00289000000,Hold for Study,Hold for Study
0005M00020000000,Hold for Study,Hold For Study
0005S00097000000,Hold for Study,Hold For Study
0006A00002000000,Hold for Study,Hold For Study
0006A00003000000,Hold for Study,Hold For Study
0006A00004000000,Hold for Study,Hold For Study
0006A00006000000,Hold for Study,Hold For Study
0006A00012000000,Available for Sale,Public Sale
0006A00024000000,Available for Sale,Public Sale
0006A00344000000,Hold for Study,Hold For Study
0006A00345000000,Hold for Study,Hold For Study
0006B00060000000,Hold for Study,Hold For Study
0006B00400000000,Hold for Study,Hold For Study
0006E00099000000,Hold for Study,Hold For Study
0006F00021000000,Hold for Study,Hold For Study
0006G00058000000,Hold for Study,Hold for Study
0006J00005000000,Hold for Study,Hold For Study
0006L00035000000,Available for Sale,Public Sale
0006L00204000A00,Available for Sale,Public Sale
0006L00302000000,Available for Sale,Public Sale
0006L00303000000,Available for Sale,Public Sale
0006P00028000000,Hold for Study,Hold For Study
0006P00029000000,Hold for Study,Hold For Study
0006P00036000000,Hold for Study,Hold For Study
0006P00037000000,Hold for Study,Hold For Study
0006P00042000000,Hold for Study,Hold For Study
0006P00047000000,Hold for Study,Hold For Study
0006P00049000000,Hold for Study,Hold For Study
0006P00052000000,Hold for Study,Hold For Study
0006P00053000000,Hold for Study,Hold For Study
0006P00054000000,Hold for Study,Hold For Study
0006P00055000000,Hold for Study,Hold For Study
0006P00179000000,Hold for Study,Hold For Study
0006P00200000001,Hold for Study,Hold For Study
0006R00128000000,Available for Sale,Public Sale
0006R00218000000,Available for Sale,Public Sale
0006R00220000000,Available for Sale,Public Sale
0007B00320000000,Hold for Study,Hold for Study
0007J00004000000,Hold for Study,Hold For Study
0007J00010000000,Hold for Study,Hold For Study
0007J00012000000,Hold for Study,Hold For Study
0007J00014000000,Hold for Study,Hold For Study
0007J00015000000,Hold for Study,Hold For Study
0007J00022000000,Hold for Study,Hold For Study
0007J00024000000,Hold for Study,Hold For Study
0007J00026000000,Hold for Study,Hold For Study
0007J00028000000,Hold for Study,Hold For Study
0007J00030000000,Hold for Study,Hold For Study
0007J00036000000,Hold for Study,Hold For Study
0007N00056000000,Hold for Study,Hold For Study
0007N00070000000,Hold for Study,Hold for Study
0007N00071000000,Hold for Study,Hold For Study
0007N00073000000,Hold for Study,Hold For Study
0007N00076000000,Hold for Study,Hold For Study
0007N00078000000,Hold for Study,Hold For Study
0007N00079000000,Hold for Study,Hold For Study
0007N00089000000,Available for Sale,Public Sale
0007N00090000000,Available for Sale,Public Sale
0007N00092000000,Hold for Study,Hold For Study
0007N00094000000,Hold for Study,Hold For Study
0007N00096000000,Hold for Study,Hold For Study
0007N00097000000,Hold for Study,Hold For Study
0007N00099000000,Hold for Study,Hold For Study
0007N00101000000,Hold for Study,Hold For Study
0007N00103000000,Hold for Study,Hold For Study
0007N00106000000,Hold for Study,Hold For Study
0007N00107000000,Hold for Study,Hold For Study
0007N00110000000,Hold for Study,Hold For Study
0007N00113000000,Hold for Study,Hold For Study
0007N00116000000,Hold for Study,Hold For Study
0007N00119000000,Hold for Study,Hold For Study
0007N00122000000,Hold for Study,Hold For Study
0007N00128000000,Hold for Study,Hold For Study
0007N00132000000,Hold for Study,Hold For Study
0007N00135000000,Hold for Study,Hold For Study
0007N00141000000,Hold for Study,Hold For Study
0007N00142000000,Hold for Study,Hold For Study
0007N00157000000,Hold for Study,Hold For Study
0007N00166000000,Hold for Study,Hold For Study
0007N00214000000,Hold for Study,Hold For Study
0007N00217000000,Hold for Study,Hold For Study
0007N00228000000,Hold for Study,Hold For Study
0007N00238000000,Hold for Study,Hold For Study
0007N00239000000,Hold for Study,Hold For Study
0007N00241000000,Hold for Study,Hold For Study
0007N00243000000,Hold for Study,Hold For Study
0008B00038000000,Hold for Study,Hold For Study
0008B00039000000,Hold for Study,Hold For Study
0008B00050000000,Hold for Study,Hold For Study
0008B00150000000,Hold for Study,Hold For Study
0008D00015000000,Hold for Study,Hold For Study
0008G00250000000,Hold for Study,Hold For Study
0008M00050000000,Hold for Study,Hold For Study
0008S00191000000,Hold for Study,Hold For Study
0009H00128000000,Hold for Study,Hold For Study
0009H00130000000,Hold for Study,Hold For Study
0009H00132000000,Hold for Study,Hold For Study
0009H00144000000,Hold for Study,Hold For Study
0009H00145000000,Hold for Study,Hold For Study
0009H00147000000,Hold for Study,Hold For Study
0009H00150000000,Hold for Study,Hold For Study
0009H00151000000,Hold for Study,Hold For Study
0009H00152000000,Hold for Study,Hold For Study
0009H00160000000,Hold for Study,Hold For Study
0009H00162000000,Hold for Study,Hold For Study
0009H00163000000,Hold for Study,Hold For Study
0009H00164000000,Hold for Study,Hold For Study
0009H00165000000,Hold for Study,Hold For Study
0009H00166000000,Hold for Study,Hold For Study
0009H00172000000,Hold for Study,Hold For Study
0009H00173000000,Hold for Study,Hold For Study
0009H00174000000,Hold for Study,Hold For Study
0009H00175000000,Hold for Study,Hold For Study
0009H00176000000,Hold for Study,Hold For Study
0009H00182000000,Hold for Study,Hold For Study
0009H00185000000,Hold for Study,Hold For Study
0009H00186000000,Hold for Study,Hold For Study
0009H00187000000,Hold for Study,Hold For Study
0009H00189000000,Hold for Study,Hold For Study
0009H00191000000,Hold for Study,Hold For Study
0009M00011000000,Hold for Study,Hold For Study
0009M00015000000,Hold for Study,Hold For Study
0009M00018000000,Hold for Study,Hold For Study
0009M00020000000,Hold for Study,Hold For Study
0009M00025000000,Hold for Study,Hold For Study
0009M00027000000,Hold for Study,Hold For Study
0009M00028000000,Hold for Study,Hold For Study
0009M00029000000,Hold for Study,Hold For Study
0009M00030000000,Hold for Study,Hold For Study
0009M00031000000,Hold for Study,Hold For Study
0009M00032000000,Hold for Study,Hold For Study
0009M00039000000,Hold for Study,Hold For Study
0009M00040000000,Hold for Study,Hold For Study
0009M00044000000,Hold for Study,Hold For Study
0009M00074000000,Hold for Study,Hold For Study
0009M00075000000,Hold for Study,Hold For Study
0009M00076000000,Hold for Study,Hold For Study
0009M00078000000,Hold for Study,Hold For Study
0009M00079000000,Hold for Study,Hold For Study
0009M00080000000,Hold for Study,Hold For Study
0009M00083000000,Hold for Study,Hold For Study
0009M00084000000,Hold for Study,Hold For Study
0009M00085000000,Hold for Study,Hold For Study
0009M00086000000,Hold for Study,Hold For Study
0009M00090000000,Available for Sale,Public Sale
0009M00092000000,Available for Sale,Public Sale
0009M00094000000,Available for Sale,Public Sale
0009M00098000000,Hold for Study,URA Transfer
0009M00099000000,Hold for Study,URA Transfer
0009M00109000000,Hold for Study,URA Transfer
0009M00110000000,Hold for Study,URA Transfer
0009M00110000A00,Hold for Study,URA Transfer
0009M00113000000,Hold for Study,URA Transfer
0009M00117000000,Hold for Study,URA Transfer
0009M00119000000,Hold for Study,URA Transfer
0009M00119000A00,Hold for Study,URA Transfer
0009M00119000B00,Hold for Study,URA Transfer
0009M00124000000,Hold for Study,URA Transfer
0009M00125000000,Hold for Study,URA Transfer
0009M00130000000,Available for Sale,URA Transfer
0009M00136000000,Hold for Study,URA Transfer
0009M00238000000,Available for Sale,URA Transfer
0009M00249000000,Available for Sale,URA Transfer
0009R00188000000,Available for Sale,URA Transfer
0009S00213000000,Available for Sale,URA Transfer
0009S00216000000,Available for Sale,URA Transfer
0009S00226000000,Available for Sale,URA Transfer
0009S00260000000,Hold for Study,Hold For Study
0010A00090000000,Hold for Study,Hold For Study
0010B00116000000,Hold for Study,Hold For Study
0010C00052000000,Available for Sale,URA Transfer
0010C00056000000,Available for Sale,URA Transfer
0010D00068000000,Available for Sale,URA Transfer
0010D00072000000,Available for Sale,URA Transfer
0010D00097000000,Available for Sale,URA Transfer
0010D00140000000,Available for Sale,URA Transfer
0010D00141000A00,Available for Sale,URA Transfer
0010D00166000A00,Available for Sale,URA Transfer
0010D00166000C00,Available for Sale,URA Transfer
0010D00170000D00,Available for Sale,URA Transfer
0010D00269000000,Available for Sale,URA Transfer
0010D00271000000,Available for Sale,URA Transfer
0010D00282000000,Available for Sale,URA Transfer
0010D00284000000,Available for Sale,URA Transfer
0010E00235000000,Hold for Study,Hold For Study
0010F00010000000,Available for Sale,URA Transfer
0010F00021000000,Available for Sale,URA Transfer
0010F00034000000,Available for Sale,URA Transfer
0010F00055000B00,Available for Sale,URA Transfer
0010F00191000000,Available for Sale,URA Transfer
0010F00198000000,Hold for Study,Hold For Study
0010G00012000000,Available for Sale,URA Transfer
0010G00013000000,Available for Sale,URA Transfer
0010G00014000000,Available for Sale,URA Transfer
0010G00020000000,Available for Sale,URA Transfer
0010G00021000000,Available for Sale,URA Transfer
0010G00048000000,Available for Sale,URA Transfer
0010G00048000A00,Available for Sale,URA Transfer
0010G00055000000,Available for Sale,URA Transfer
0010G00056000000,Available for Sale,URA Transfer
0010G00057000000,Available for Sale,URA Transfer
0010G00058000000,Available for Sale,URA Transfer
0010G00131000000,Available for Sale,URA Transfer
0010G00135000000,Available for Sale,URA Transfer
0010G00138000000,Available for Sale,URA Transfer
0010G00139000000,Available for Sale,URA Transfer
0010G00142000000,Available for Sale,URA Transfer
0010G00152000000,Available for Sale,URA Transfer
0010G00154000000,Available for Sale,URA Transfer
0010G00170000000,Available for Sale,URA Transfer
0010G00172000000,Available for Sale,URA Transfer
0010G00174000A00,Available for Sale,URA Transfer
0010G00177000000,Available for Sale,URA Transfer
0010G00235000000,Available for Sale,URA Transfer
0010G00235000200,Available for Sale,URA Transfer
0010G00248000000,Available for Sale,URA Transfer
0010G00249000000,Available for Sale,URA Transfer
0010G00250000000,Available for Sale,URA Transfer
0010G00252000000,Available for Sale,URA Transfer
0010G00286000000,Available for Sale,URA Transfer
0010G00292000000,Available for Sale,URA Transfer
0010G00295000000,Available for Sale,URA Transfer
0010G00297000000,Available for Sale,URA Transfer
0010G00303000000,Available for Sale,URA Transfer
0010G00308000000,Available for Sale,URA Transfer
0010G00309000000,Available for Sale,URA Transfer
0010G00310000000,Available for Sale,URA Transfer
0010G00311000000,Available for Sale,URA Transfer
0010G00312000000,Available for Sale,URA Transfer
0010G00313000000,Available for Sale,URA Transfer
0010G00319000000,Available for Sale,URA Transfer
0010G00320000000,Available for Sale,URA Transfer
0010G00342000000,Available for Sale,URA Transfer
0010G00345000000,Available for Sale,URA Transfer
0010G00360000000,Available for Sale,URA Transfer
0010H00067000000,Available for Sale,URA Transfer
0010H00234000000,Available for Sale,URA Transfer
0010H00247000000,Available for Sale,URA Transfer
0010H00322000000,Available for Sale,URA Transfer
0010J00093000000,Available for Sale,URA Transfer
0010J00094000000,Available for Sale,URA Transfer
0010J00095000000,Available for Sale,URA Transfer
0010J00096000000,Available for Sale,URA Transfer
0010J00152000000,Available for Sale,URA Transfer
0010J00178000000,Available for Sale,URA Transfer
0010J00313000000,Available for Sale,URA Transfer
0010J00314000000,Available for Sale,URA Transfer
0010K00021000000,Available for Sale,URA Transfer
0010K00025000000,Available for Sale,URA Transfer
0010K00027000000,Available for Sale,URA Transfer
0010K00028000000,Available for Sale,URA Transfer
0010K00048000000,Available for Sale,URA Transfer
0010K00094000000,Available for Sale,URA Transfer
0010K00095000000,Available for Sale,URA Transfer
0010K00095000A00,Available for Sale,URA Transfer
0010K00095000B00,Available for Sale,URA Transfer
0010K00096000000,Available for Sale,URA Transfer
0010K00099000000,Available for Sale,URA Transfer
0010K00102000000,Available for Sale,URA Transfer
0010K00106000000,Available for Sale,URA Transfer
0010K00106000A00,Available for Sale,URA Transfer
0010K00107000000,Available for Sale,URA Transfer
0010K00110000000,Available for Sale,URA Transfer
0010K00113000000,Available for Sale,URA Transfer
0010K00114000A00,Available for Sale,URA Transfer
0010K00124000000,Available for Sale,URA Transfer
0010K00131000000,Available for Sale,URA Transfer
0010K00132000000,Available for Sale,URA Transfer
0010K00141000000,Available for Sale,URA Transfer
0010K00141000A00,Available for Sale,URA Transfer
0010K00142000000,Available for Sale,URA Transfer
0010K00148000000,Available for Sale,URA Transfer
0010K00149000A00,Available for Sale,URA Transfer
0010K00149000B00,Available for Sale,URA Transfer
0010K00155000000,Available for Sale,URA Transfer
0010K00156000000,Available for Sale,URA Transfer
0010K00157000000,Available for Sale,URA Transfer
0010K00158000000,Available for Sale,URA Transfer
0010K00164000000,Available for Sale,URA Transfer
0010K00165000000,Available for Sale,URA Transfer
0010K00166000000,Available for Sale,URA Transfer
0010K00167000000,Available for Sale,URA Transfer
0010K00169000000,Available for Sale,URA Transfer
0010K00170000000,Available for Sale,URA Transfer
0010K00171000000,Available for Sale,URA Transfer
0010K00173000000,Available for Sale,URA Transfer
0010K00173000A00,Available for Sale,URA Transfer
0010K00174000000,Available for Sale,URA Transfer
0010K00175000000,Available for Sale,URA Transfer
0010K00176000000,Available for Sale,URA Transfer
0010K00190000000,Available for Sale,URA Transfer
0010K00193000000,Available for Sale,URA Transfer
0010K00246000000,Available for Sale,URA Transfer
0010K00247000000,Available for Sale,URA Transfer
0010K00255000000,Available for Sale,URA Transfer
0010K00267000000,Available for Sale,URA Transfer
0010K00355000000,Available for Sale,URA Transfer
0010K00357000000,Available for Sale,URA Transfer
0010K00378000000,Available for Sale,URA Transfer
0010L00024000000,Available for Sale,URA Transfer
0010L00039000000,Available for Sale,URA Transfer
0010L00153000000,Available for Sale,URA Transfer
0010L00251000000,Available for Sale,URA Transfer
0010L00322000000,Available for Sale,URA Transfer
0010L00328000000,Available for Sale,URA Transfer
0010M00094000000,Hold for Study,URA Transfer
0010M00096000000,Hold for Study,URA Transfer
0010M00097000000,Hold for Study,URA Transfer
0010M00099000000,Hold for Study,URA Transfer
0010M00100000000,Hold for Study,URA Transfer
0010M00100000A00,Hold for Study,URA Transfer
0010M00101000000,Hold for Study,URA Transfer
0010M00128000000,Available for Sale,URA Transfer
0010N00340000000,Available for Sale,URA Transfer
0010P00135000000,Available for Sale,URA Transfer
0010P00136000000,Available for Sale,URA Transfer
0010P00137000000,Available for Sale,URA Transfer
0010P00138000000,Available for Sale,URA Transfer
0010R00041000000,Hold for Study,Hold For Study
0010R00059000000,Hold for Study,Hold For Study
0010R00062000000,Hold for Study,Hold For Study
0010R00112000000,Available for Sale,URA Transfer
0010R00113000000,Available for Sale,URA Transfer
0011A00213000000,Available for Sale,URA Transfer
0011A00222000002,Available for Sale,URA Transfer
0011A00225000000,Available for Sale,URA Transfer
0011A00227000000,Available for Sale,Public Sale
0011A00228000000,Available for Sale,URA Transfer
0011A00236000000,Available for Sale,URA Transfer
0011C00001000000,Hold for Study,Hold For Study
0011D00110000000,Available for Sale,Public Sale
0011D00111000000,Available for Sale,Public Sale
0011D00114000000,Available for Sale,Public Sale
0011D00117000000,Available for Sale,Public Sale
0011D00129000000,Available for Sale,Public Sale
0011D00131000000,Available for Sale,Public Sale
0011D00145000000,Available for Sale,Public Sale
0011D00147000000,Available for Sale,Public Sale
0011D00149000000,Available for Sale,Public Sale
0011D00150000000,Available for Sale,Public Sale
0011D00151000000,Available for Sale,Public Sale
0011D00162000000,Available for Sale,CDC Property Reserve
0011E00130000000,Available for Sale,Public Sale
0011E00131000000,Available for Sale,Public Sale
0011E00132000000,Available for Sale,Public Sale
0011E00133000000,Available for Sale,Public Sale
0011E00135000000,Available for Sale,Public Sale
0011E00136000000,Available for Sale,Public Sale
0011E00137000000,Available for Sale,Public Sale
0011E00140000000,Available for Sale,Public Sale
0011E00141000000,Available for Sale,Public Sale
0011E00142000000,Available for Sale,Public Sale
0011E00143000000,Available for Sale,Public Sale
0011E00144000000,Available for Sale,Public Sale
0011E00145000000,Available for Sale,Public Sale
0011E00147000000,Available for Sale,Public Sale
0011E00148000000,Available for Sale,Public Sale
0011E00157000000,Available for Sale,Public Sale
0011E00158000000,Available for Sale,Public Sale
0011E00171000000,Available for Sale,Public Sale
0011E00181000000,Hold for Study,Hold For Study
0011E00183000000,Hold for Study,Hold For Study
0011E00189000000,Available for Sale,Public Sale
0011E00200000000,Available for Sale,Public Sale
0011E00209000000,Available for Sale,Public Sale
0011E00209000A00,Available for Sale,Public Sale
0011E00210000000,Available for Sale,Public Sale
0011E00215000000,Available for Sale,Public Sale
0011E00216000000,Available for Sale,Public Sale
0011E00217000000,Available for Sale,Public Sale
0011E00219000000,Available for Sale,Public Sale
0011E00225000000,Available for Sale,Public Sale
0011E00226000000,Available for Sale,Public Sale
0011E00228000000,Available for Sale,Public Sale
0011E00230000000,Available for Sale,Public Sale
0011E00231000000,Available for Sale,Public Sale
0011E00233000000,Available for Sale,Public Sale
0011E00234000000,Available for Sale,Public Sale
0011E00235000000,Available for Sale,Public Sale
0011F00007000000,Available for Sale,Public Sale
0011F00009000000,Hold for Study,Hold for Study
0011F00014000000,Hold for Study,Hold For Study
0011F00015000000,Hold for Study,Hold For Study
0011F00035000000,Hold for Study,Hold for Study
0011F00037000000,Hold for Study,Hold for Study
0011F00042000000,Hold for Study,Hold for Study
0011F00043000000,Hold for Study,Hold for Study
0011F00045000000,Hold for Study,Hold for Study
0011F00046000000,Hold for Study,Hold for Study
0011F00049000000,Hold for Study,Hold for Study
0011F00050000000,Hold for Study,Hold for Study
0011F00051000000,Hold for Study,Hold for Study
0011F00052000000,Hold for Study,Hold for Study
0011F00053000000,Hold for Study,Hold for Study
0011F00192000000,Hold for Study,Hold for Study
0011G00084000000,Hold for Study,Hold for Study
0011G00086000000,Hold for Study,Hold for Study
0011G00091000000,Hold for Study,Hold For Study
0011G00093000000,Hold for Study,Hold For Study
0011G00095000000,Hold for Study,Hold For Study
0011G00096000000,Hold for Study,Hold For Study
0011G00097000000,Hold for Study,Hold For Study
0011G00102000000,Hold for Study,Hold For Study
0011G00103000000,Hold for Study,Hold For Study
0011G00104000000,Hold for Study,Hold For Study
0011G00106000000,Hold for Study,Hold For Study
0011G00108000000,Hold for Study,Hold For Study
0011G00112000000,Hold for Study,Hold For Study
0011G00113000000,Hold for Study,Hold For Study
0011G00120000000,Hold for Study,Hold For Study
0011G00125000000,Hold for Study,Hold For Study
0011G00127000000,Hold for Study,Hold For Study
0011G00133000000,Hold for Study,Hold For Study
0011G00134000000,Hold for Study,Hold For Study
0011G00150000000,Hold for Study,Hold For Study
0011H00004000000,Available for Sale,Public Sale
0011J00215000000,Hold for Study,Hold for Study
0011K00151000000,Hold for Study,Hold for Study
0011K00155000000,Hold for Study,Hold for Study
0011K00252000000,Hold for Study,Hold For Study
0011L00003000000,Hold for Study,Hold For Study
0011L00004000000,Hold for Study,Hold For Study
0011L00005000000,Hold for Study,Hold For Study
0011L00008000000,Hold for Study,Hold For Study
0011L00011000000,Hold for Study,Hold For Study
0011L00013000000,Hold for Study,Hold For Study
0011L00018000000,Available for Sale,URA Transfer
0011L00020000000,Hold for Study,Hold For Study
0011L00026000000,Hold for Study,Hold For Study
0011L00031000000,Hold for Study,Hold For Study
0011L00032000000,Hold for Study,Hold For Study
0011L00033000000,Hold for Study,Hold For Study
0011L00034000000,Hold for Study,Hold For Study
0011M00003000000,Hold for Study,Hold For Study
0011M00004000000,Hold for Study,Hold For Study
0011M00006000000,Hold for Study,Hold For Study
0011M00007000000,Hold for Study,Hold For Study
0011M00008000000,Hold for Study,Hold For Study
0011M00009000000,Hold for Study,Hold For Study
0011M00010000000,Hold for Study,Hold For Study
0011M00011000000,Hold for Study,Hold For Study
0011M00012000000,Hold for Study,Hold For Study
0011M00013000000,Hold for Study,Hold For Study
0011M00014000000,Hold for Study,Hold For Study
0011M00016000000,Hold for Study,Hold For Study
0011M00019000000,Hold for Study,Hold For Study
0011M00020000000,Hold for Study,Hold For Study
0011M00021000000,Hold for Study,Hold For Study
0011M00022000000,Hold for Study,Hold For Study
0011M00027000000,Hold for Study,Hold For Study
0011M00029000000,Hold for Study,Hold For Study
0011M00033000000,Hold for Study,Hold For Study
0011M00034000000,Hold for Study,Hold For Study
0011M00035000000,Hold for Study,Hold For Study
0011M00036000000,Hold for Study,Hold For Study
0011M00037000000,Hold for Study,Hold For Study
0011M00038000000,Hold for Study,Hold For Study
0011M00041000000,Hold for Study,Hold For Study
0011M00043000000,Hold for Study,Hold For Study
0011M00045000000,Hold for Study,Hold For Study
0011M00049000000,Hold for Study,Hold For Study
0011M00074000000,Hold for Study,Hold For Study
0011M00076000000,Hold for Study,Hold For Study
0011M00077000000,Hold for Study,Hold For Study
0011M00078000000,Hold for Study,Hold For Study
0011M00080000000,Hold for Study,Hold For Study
0011M00081000000,Hold for Study,Hold For Study
0011M00082000000,Hold for Study,Hold For Study
0011M00083000000,Hold for Study,Hold For Study
0011M00096000000,Available for Sale,URA Transfer
0011M00098000000,Available for Sale,URA Transfer
0011M00119000000,Hold for Study,Hold For Study
0011M00120000000,Hold for Study,Hold For Study
0011M00121000000,Hold for Study,Hold For Study
0011S00005000000,Hold for Study,Hold For Study
0011S00007000000,Hold for Study,Hold For Study
0011S00056000000,Hold for Study,Hold For Study
0011S00067000000,Hold for Study,Hold For Study
0011S00068000000,Hold for Study,Hold For Study
0011S00069000000,Hold for Study,Hold For Study
0011S00074000000,Hold for Study,Hold For Study
0011S00078000000,Hold for Study,Hold For Study
0011S00079000000,Hold for Study,Hold For Study
0012A00300000000,Hold for Study,Hold For Study
0012B00110000001,Hold for Study,Hold For Study
0012B00110000003,Hold for Study,Hold For Study
0012C00005000000,Hold for Study,Hold For Study
0012L00046000000,Available for Sale,Public Sale
0012P00152000000,Hold for Study,Hold For Study
0013A00056000000,Available for Sale,Public Sale
